2024-11-24 06:53:07,191 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,191 - WARNING - Failed to process frame
2024-11-24 06:53:07,199 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,199 - WARNING - Failed to process frame
2024-11-24 06:53:07,208 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,208 - WARNING - Failed to process frame
2024-11-24 06:53:07,216 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,216 - WARNING - Failed to process frame
2024-11-24 06:53:07,224 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,224 - WARNING - Failed to process frame
2024-11-24 06:53:07,231 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,232 - WARNING - Failed to process frame
2024-11-24 06:53:07,240 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,240 - WARNING - Failed to process frame
2024-11-24 06:53:07,251 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,251 - WARNING - Failed to process frame
2024-11-24 06:53:07,259 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,259 - WARNING - Failed to process frame
2024-11-24 06:53:07,267 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,268 - WARNING - Failed to process frame
2024-11-24 06:53:07,275 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,275 - WARNING - Failed to process frame
2024-11-24 06:53:07,283 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,283 - WARNING - Failed to process frame
2024-11-24 06:53:07,290 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,291 - WARNING - Failed to process frame
2024-11-24 06:53:07,298 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,298 - WARNING - Failed to process frame
2024-11-24 06:53:07,305 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,305 - WARNING - Failed to process frame
2024-11-24 06:53:07,312 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,312 - WARNING - Failed to process frame
2024-11-24 06:53:07,319 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,320 - WARNING - Failed to process frame
2024-11-24 06:53:07,327 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,327 - WARNING - Failed to process frame
2024-11-24 06:53:07,334 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,334 - WARNING - Failed to process frame
